id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
gd-1010033807568,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1010033807568,,Hindi Teacher,NALANDA ACADEMY OF SCIENCE AND TECHNICAL EDUCATION,Vijayawāda,2026-02-15,,direct_data,monthly,20000.0,40000.0,INR,False,,,sponsored,,"**Job Card: Hindi Teacher \- CBSE School, K\-12**

**Job Title:** Hindi Teacher

**Location:** Nalanda Vidyaniketan, Vijayawada, Andhra Pradesh, India

**Job Type:** Full\-Time/Part\-Time

**About Our School:**  
Nalanda Vidyaniketan is a distinguished institution affiliated with the Central Board of Secondary Education (CBSE). We aim to foster educational excellence across all subjects, nurturing students from K\-12 to become future leaders.

**Job Description:**  
We seek a passionate Hindi Teacher to join our team, delivering engaging content in line with CBSE standards. You will play a pivotal role in cultivating students' understanding of Hindi language and literature, fostering a love for the subject, and preparing them for higher education and professional opportunities.

**Responsibilities:**

* **Curriculum Delivery:** Plan and implement Hindi lessons that encourage active learning and engagement.
* **Lesson Planning:** Develop structured lesson plans aligned with CBSE curriculum standards.
* **Student Assessment:** Evaluate students' progress, provide feedback, and maintain accurate academic records.
* **Classroom Discipline:** Enforce the school's policies and disciplinary systems, fostering a positive learning environment.
* **Parental Communication:** Maintain communication with students, colleagues, and parents regarding progress.
* **Professional Development:** Engage in opportunities for growth and collaborate with fellow teachers.

**Qualifications:**

* **Founder Level:** 1\-3 years of experience with a Postgraduate degree and B.Ed., responsible for delivering Hindi content across different grade levels.
* **Master Level:** 4\-8 years of experience in advanced studies with a Postgraduate degree and B.Ed., with a deep understanding of Hindi language and literature.
* **Developer Level:** 9\+ years of experience, a Postgraduate degree with B.Ed or M.Ed, with specialized skills in curriculum development and leadership in the Hindi department.

**Screening Process:**

* **Written Test:** A subject\-specific exam assessing proficiency in Hindi.
* **Proficiency Test:** Tests for proficiency in MS Office.
* **Reading Test:** Conducted through Microsoft Teams.
* **Teaching Demonstration:** Candidates demonstrate teaching skills through a mock class session.

**Benefits:**

* **Competitive Salary and Benefits:** Including healthcare, pension, and other perks.
* **Professional Development:** Opportunities for growth and leadership training.
* **Nurturing Environment:** A collaborative and innovative work atmosphere.

Job Type: Full\-time

Pay: ₹20,000\.00 \- ₹40,000\.00 per month

Ability to commute/relocate:

* Vijayawada, Andhra Pradesh: Reliably commute or willing to relocate with an employer\-provided relocation package (Preferred)

Education:

* Master's (Preferred)

Experience:

* Teaching: 4 years (Preferred)
* Making lesson plans: 4 years (Preferred)
* total work: 4 years (Preferred)

Language:

* English (Preferred)

Work Location: In person",,,,,,,,,,,,,,
gd-1010033811175,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1010033811175,,Brand Growth & Creative Executive,Consult Cognia,Vijayawāda,2026-02-15,,direct_data,monthly,12000.0,18000.0,INR,False,,,sponsored,,"Job Title: Brand Growth \& Creative Executive

Location: Vijayawada

About Mairah:

Mairah is a fast\-growing fashion and accessories brand specializing in trendy jewellery, with future

expansion into lifestyle categories such as bags and clothing. We actively participate in retail store

sales and exhibitions across Andhra Pradesh and are building a strong brand presence both offline

and online.

Role Overview:

This is a Brand Growth role combining creativity, sales, analytics, influencer marketing, and

customer retention. The selected candidate will play a key role in expanding Mairah’s visibility,

increasing sales, and building customer loyalty.

Key Responsibilities:

* Create Instagram Reels, Stories, voice\-over videos and engaging content.
* Conduct product photography and assist in visual presentation.
* Support in\-store and expo sales and represent the brand professionally.
* Track best\-selling products and analyze customer buying patterns.
* Identify and manage influencer collaborations (Vijayawada \& across Andhra Pradesh).
* Develop customer retention strategies and maintain repeat engagement.
* Suggest creative ideas for campaigns, launches and brand expansion.

Qualifications:

Any educational qualification is acceptable — we value honesty, dedication, and work ethic over

degrees. Must possess excellent verbal and written communication skills.

Required Skills:

* Confident on camera and comfortable with voice\-overs.
* Basic photography and video editing skills.
* Creative thinking and trend awareness.
* Understanding of Instagram analytics.
* Sales\-oriented and disciplined.

Job Type: Full\-time

Pay: ₹12,000\.00 \- ₹18,000\.00 per month

Work Location: In person",,https://www.glassdoor.co.in/Overview/W-EI_IE3133497.htm,https://media.glassdoor.com/sql/3133497/cognia-ga-squarelogo-1630054924433.png,,,,,,,,,,,
gd-1010033803618,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1010033803618,,Digital Marketing & SEO Specialist,BIM Era Private Limited,,2026-02-15,,direct_data,monthly,20000.0,25000.0,INR,True,,,sponsored,,"**Job Title: Digital Marketing \& SEO Specialist**

**Company:** BIM Era Pvt Ltd  
**Location:** Diamond Park, Visakhapatnam  
**Experience:** 2–3 Years  
**Salary:** ₹20,000 – ₹25,000/month

**Job Summary**

We are looking for a results\-driven **Digital Marketing \& SEO Specialist** who can plan, execute, and optimize online marketing strategies to increase brand visibility, generate leads, and improve website rankings.

**Key Responsibilities**

* Plan and execute **SEO strategies** (On\-Page, Off\-Page, Technical SEO)
* Perform **keyword research**, competitor analysis, and ranking tracking
* Manage and optimize **Google Ads / Paid Campaigns**
* Handle **social media marketing** (posting, boosting, analytics, engagement)
* Create and optimize content for blogs, landing pages, and campaigns
* Monitor website performance using analytics tools
* Generate leads through digital campaigns and marketing funnels
* Prepare weekly and monthly performance reports
* Improve conversion rates through data\-driven optimization

**Required Skills**

* Strong knowledge of **SEO tools** (Google Search Console, Analytics, SEMrush, Ahrefs, etc.)
* Experience in **social media ads \& boosting campaigns**
* Understanding of **lead generation strategies**
* Basic knowledge of **content marketing \& copywriting**
* Good analytical and reporting skills
* Ability to work independently and meet targets

**Preferred Qualifications**

* Bachelor’s degree in Marketing, Business, or related field
* Certifications in Digital Marketing / SEO (added advantage)

**Ideal Candidate Profile**

* Creative thinker with strategic mindset
* Target\-oriented and performance\-focused
* Updated with latest digital marketing trends
* Strong communication skills

Job Type: Full\-time

Pay: ₹20,000\.00 \- ₹25,000\.00 per month

Application Question(s):

* Which tools have you used?

Education:

* Bachelor's (Required)

Experience:

* in Digital Marketing and SEO: 1 year (Required)
* do you have in Digital Marketing: 2 years (Preferred)

Work Location: In person",,,,,,,,,,,,,,
gd-1010033713843,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1010033713843,,Sales Representative,Pratidin,Guntūr,2026-02-15,,direct_data,monthly,20000.0,30000.0,INR,False,,,organic,,,,,,,,,,,,,,,,
gd-1010033036312,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1010033036312,,Operations Executive,CINEPOLIS INDIA PVT.LTD,Vijayawāda,2026-02-14,,direct_data,monthly,12500.0,13500.0,INR,False,,,organic,,,,,,,,,,,,,,,,
gd-1010031601733,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1010031601733,,Visual Communication Lecturer,Nalanda Degree College,Vijayawāda,2026-02-13,,direct_data,monthly,20000.0,30000.0,INR,False,,,sponsored,,"**Job Title:** Visual Communication Lecturer  
**Location:** Nalanda Degree College, Vijayawada, Andhra Pradesh, India  
**Job Type:** Full\-Time  
**Salary:** ₹20,000 – ₹30,000 per month (based on experience and qualifications)  
**Reports to:** Principal

**Job Summary:**

Nalanda Degree College is seeking a passionate and creative **Visual Communication Lecturer** to join our faculty. The ideal candidate will have strong expertise in visual media, communication design, and related creative tools. You will be responsible for delivering lectures, guiding student projects, and preparing learners for careers in media, advertising, design, and communication industries.

**Key Responsibilities:**

* Plan, prepare, and deliver high\-quality lectures in Visual Communication.
* Teach subjects such as Graphic Design, Photography, Film Studies, Typography, Multimedia, Advertising, and Digital Media.
* Guide students in creative projects, portfolios, and practical assignments.
* Design and assess assignments, exams, and practical evaluations.
* Stay updated with current trends in visual communication, media, and design technologies.
* Encourage student participation in creative competitions, exhibitions, and presentations.
* Maintain academic records, attendance, and student progress reports.
* Collaborate with other faculty on curriculum development and interdepartmental projects.

**Qualifications \& Skills Required:**

* Bachelor’s or Master’s Degree in Visual Communication / Mass Communication / Fine Arts / Design or related field.
* Prior teaching experience is preferred (Freshers with strong portfolios may also apply).
* Proficiency in Adobe Creative Suite (Photoshop, Illustrator, Premiere Pro, InDesign, etc.).
* Excellent verbal and written communication skills.
* Passion for teaching and mentoring young creative minds.
* Ability to manage classroom activities and maintain discipline.

**Work Experience:**

* Minimum 1–3 years of experience in teaching or media/design industry (preferred).
* Freshers with outstanding portfolios may be considered.

**How to Apply:**  
Interested candidates can apply through Indeed or send their CV and portfolio to https://**nvn.zohorecruit.in/jobs/Careers** with the subject line **“Application for Visual Communication Lecturer – Nalanda Degree College.”**

Job Type: Full\-time

Pay: ₹20,000\.00 \- ₹30,000\.00 per month

Work Location: In person",,,,,,,,,,,,,,
gd-1010031663429,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1010031663429,,Relationship Officer,Aditya Birla Capital,Chīrāla,2026-02-13,,,,,,,False,,,organic,,"Retail \- Secured
**Relationship Officer**
========================


Location: S\-PKS, Chirala

**Job Description**
-------------------


Relationship Officer


Minimum Experience Level
0 \- 4 years


Job Qualifications",,https://www.glassdoor.co.in/Overview/W-EI_IE513778.htm,https://media.glassdoor.com/sql/513778/aditya-birla-group-squarelogo-1562299743743.png,,,,,,,,,,,
gd-1010031839482,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1010031839482,,Asst. Store Incharge,VM FOODS,India,2026-02-13,,,,,,,False,,,organic,,,,,,,,,,,,,,,,
gd-1010031439826,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1010031439826,,Back Office Executive,Ivy Overseas,Guntūr,2026-02-13,,direct_data,monthly,15000.0,20000.0,INR,False,,,organic,,,,https://www.glassdoor.co.in/Overview/W-EI_IE8814333.htm,,,,,,,,,,,,
gd-1010031436805,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1010031436805,,Sales Assistant,OSWAL PUMPS LTD,Guntūr,2026-02-13,,direct_data,monthly,25000.0,25000.0,INR,False,,,organic,,,,https://www.glassdoor.co.in/Overview/W-EI_IE4539600.htm,https://media.glassdoor.com/sql/4539600/oswal-pumps-squarelogo-1625732453179.png,,,,,,,,,,,
